acme_code;background_education;department_and_role;level_code;level_name;recruitment_code;recruitment_source_name;reason_dimissal_code;reason_dimissal_name
263;7|Undergraduate degree;7|Finance|9|Intern;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
264;7|Undergraduate degree;8|Human Resource|11|Analyst;6;Pleno;6;Learn4Good;#N/A;#N/A
265;7|Undergraduate degree;6|Administration|9|Intern;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
266;8|Graduate school;12|Controlling|11|Analyst;7;Senior;9;Empregos Online;#N/A;#N/A
267;7|Undergraduate degree;10|Operations|9|Intern;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
268;7|Undergraduate degree;12|Controlling|11|Analyst;5;Junior;6;Learn4Good;#N/A;#N/A
269;7|Undergraduate degree;7|Finance|10|Trainee;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
270;7|Undergraduate degree;10|Operations|11|Analyst;5;Junior;12; recommendation of employee;#N/A;#N/A
271;7|Undergraduate degree;13|Audit|10|Trainee;#N/A;#N/A;5;Indeed;#N/A;#N/A
272;8|Graduate school;7|Finance|11|Analyst;6;Pleno;10;Jobs in Lisbon;#N/A;#N/A
273;7|Undergraduate degree;12|Controlling|9|Intern;#N/A;#N/A;15;Website;#N/A;#N/A
274;8|Graduate school;12|Controlling|11|Analyst;6;Pleno;14;LinkedIn;#N/A;#N/A
275;7|Undergraduate degree;9| Commercial|10|Trainee;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
276;7|Undergraduate degree;9| Commercial|11|Analyst;6;Pleno;9;Empregos Online;#N/A;#N/A
277;7|Undergraduate degree;6|Administration|10|Trainee;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
278;8|Graduate school;6|Administration|11|Analyst;7;Senior;10;Jobs in Lisbon;#N/A;#N/A
279;7|Undergraduate degree;12|Controlling|10|Trainee;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
280;8|Graduate school;6|Administration|11|Analyst;7;Senior;10;Jobs in Lisbon;#N/A;#N/A
281;7|Undergraduate degree;10|Operations|9|Intern;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
282;8|Graduate school;7|Finance|11|Analyst;6;Pleno;14;LinkedIn;#N/A;#N/A
283;7|Undergraduate degree;5| Presidency|10|Trainee;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
284;7|Undergraduate degree;10|Operations|11|Analyst;7;Senior;14;LinkedIn;#N/A;#N/A
285;7|Undergraduate degree;9| Commercial|9|Intern;#N/A;#N/A;15;Website;#N/A;#N/A
286;7|Undergraduate degree;5| Presidency|11|Analyst;6;Pleno;5;Indeed;#N/A;#N/A
287;7|Undergraduate degree;7|Finance|10|Trainee;#N/A;#N/A;13;Google;#N/A;#N/A
288;8|Graduate school;10|Operations|11|Analyst;6;Pleno;12; recommendation of employee;#N/A;#N/A
289;7|Undergraduate degree;5| Presidency|10|Trainee;#N/A;#N/A;15;Website;#N/A;#N/A
290;8|Graduate school;8|Human Resource|11|Analyst;5;Junior;13;Google;#N/A;#N/A
291;7|Undergraduate degree;6|Administration|10|Trainee;#N/A;#N/A;5;Indeed;#N/A;#N/A
292;7|Undergraduate degree;12|Controlling|11|Analyst;5;Junior;5;Indeed;#N/A;#N/A
293;7|Undergraduate degree;6|Administration|9|Intern;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
294;8|Graduate school;7|Finance|11|Analyst;7;Senior;9;Empregos Online;#N/A;#N/A
295;7|Undergraduate degree;7|Finance|9|Intern;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
296;8|Graduate school;5| Presidency|11|Analyst;5;Junior;5;Indeed;#N/A;#N/A
297;7|Undergraduate degree;11|Communication & Marketing|9|Intern;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
298;8|Graduate school;6|Administration|11|Analyst;7;Senior;7;SAPO Emprego;#N/A;#N/A
299;7|Undergraduate degree;9| Commercial|10|Trainee;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
300;8|Graduate school;11|Communication & Marketing|11|Analyst;5;Junior;15;Website;#N/A;#N/A
301;7|Undergraduate degree;11|Communication & Marketing|10|Trainee;#N/A;#N/A;15;Website;#N/A;#N/A
302;8|Graduate school;9| Commercial|11|Analyst;6;Pleno;9;Empregos Online;#N/A;#N/A
303;7|Undergraduate degree;8|Human Resource|10|Trainee;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
304;8|Graduate school;13|Audit|11|Analyst;5;Junior;7;SAPO Emprego;#N/A;#N/A
305;7|Undergraduate degree;6|Administration|10|Trainee;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
306;7|Undergraduate degree;10|Operations|11|Analyst;5;Junior;11;Next Station;#N/A;#N/A
307;7|Undergraduate degree;13|Audit|10|Trainee;#N/A;#N/A;13;Google;#N/A;#N/A
308;7|Undergraduate degree;12|Controlling|11|Analyst;6;Pleno;13;Google;#N/A;#N/A
309;7|Undergraduate degree;8|Human Resource|9|Intern;#N/A;#N/A;13;Google;#N/A;#N/A
310;8|Graduate school;8|Human Resource|11|Analyst;7;Senior;14;LinkedIn;#N/A;#N/A
311;7|Undergraduate degree;11|Communication & Marketing|9|Intern;#N/A;#N/A;11;Next Station;#N/A;#N/A
312;7|Undergraduate degree;13|Audit|11|Analyst;7;Senior;10;Jobs in Lisbon;#N/A;#N/A
313;7|Undergraduate degree;12|Controlling|10|Trainee;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
314;7|Undergraduate degree;5| Presidency|11|Analyst;7;Senior;8;Net Empregos;#N/A;#N/A
315;7|Undergraduate degree;9| Commercial|10|Trainee;#N/A;#N/A;13;Google;#N/A;#N/A
316;7|Undergraduate degree;8|Human Resource|11|Analyst;5;Junior;15;Website;#N/A;#N/A
317;7|Undergraduate degree;11|Communication & Marketing|10|Trainee;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
318;8|Graduate school;12|Controlling|11|Analyst;5;Junior;15;Website;#N/A;#N/A
319;7|Undergraduate degree;6|Administration|10|Trainee;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
320;7|Undergraduate degree;11|Communication & Marketing|11|Analyst;6;Pleno;8;Net Empregos;#N/A;#N/A
321;7|Undergraduate degree;13|Audit|9|Intern;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
322;8|Graduate school;6|Administration|11|Analyst;6;Pleno;13;Google;#N/A;#N/A
323;7|Undergraduate degree;10|Operations|9|Intern;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
324;8|Graduate school;7|Finance|11|Analyst;6;Pleno;14;LinkedIn;#N/A;#N/A
325;7|Undergraduate degree;12|Controlling|10|Trainee;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
326;7|Undergraduate degree;12|Controlling|11|Analyst;7;Senior;7;SAPO Emprego;#N/A;#N/A
327;7|Undergraduate degree;13|Audit|9|Intern;#N/A;#N/A;11;Next Station;#N/A;#N/A
328;7|Undergraduate degree;8|Human Resource|11|Analyst;7;Senior;14;LinkedIn;#N/A;#N/A
329;7|Undergraduate degree;10|Operations|9|Intern;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
330;7|Undergraduate degree;13|Audit|11|Analyst;7;Senior;9;Empregos Online;#N/A;#N/A
331;7|Undergraduate degree;6|Administration|9|Intern;#N/A;#N/A;11;Next Station;#N/A;#N/A
332;7|Undergraduate degree;9| Commercial|11|Analyst;7;Senior;8;Net Empregos;10; Retiring
333;7|Undergraduate degree;10|Operations|10|Trainee;#N/A;#N/A;5;Indeed;#N/A;#N/A
334;8|Graduate school;13|Audit|11|Analyst;6;Pleno;11;Next Station;#N/A;#N/A
335;7|Undergraduate degree;13|Audit|9|Intern;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
336;8|Graduate school;7|Finance|11|Analyst;7;Senior;14;LinkedIn;#N/A;#N/A
337;7|Undergraduate degree;11|Communication & Marketing|9|Intern;#N/A;#N/A;11;Next Station;#N/A;#N/A
338;8|Graduate school;7|Finance|11|Analyst;5;Junior;6;Learn4Good;#N/A;#N/A
339;7|Undergraduate degree;10|Operations|10|Trainee;#N/A;#N/A;15;Website;#N/A;#N/A
340;7|Undergraduate degree;8|Human Resource|11|Analyst;5;Junior;8;Net Empregos;#N/A;#N/A
341;7|Undergraduate degree;13|Audit|9|Intern;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
342;7|Undergraduate degree;5| Presidency|11|Analyst;6;Pleno;11;Next Station;#N/A;#N/A
343;7|Undergraduate degree;11|Communication & Marketing|10|Trainee;#N/A;#N/A;15;Website;#N/A;#N/A
344;8|Graduate school;5| Presidency|11|Analyst;5;Junior;15;Website;#N/A;#N/A
345;7|Undergraduate degree;11|Communication & Marketing|9|Intern;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
346;8|Graduate school;9| Commercial|11|Analyst;7;Senior;6;Learn4Good;#N/A;#N/A
347;7|Undergraduate degree;12|Controlling|9|Intern;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
348;8|Graduate school;5| Presidency|11|Analyst;5;Junior;5;Indeed;#N/A;#N/A
349;7|Undergraduate degree;5| Presidency|10|Trainee;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
350;7|Undergraduate degree;5| Presidency|11|Analyst;7;Senior;6;Learn4Good;#N/A;#N/A
351;7|Undergraduate degree;8|Human Resource|9|Intern;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
352;8|Graduate school;10|Operations|11|Analyst;6;Pleno;7;SAPO Emprego;#N/A;#N/A
353;7|Undergraduate degree;12|Controlling|10|Trainee;#N/A;#N/A;13;Google;#N/A;#N/A
354;7|Undergraduate degree;5| Presidency|11|Analyst;6;Pleno;8;Net Empregos;#N/A;#N/A
355;7|Undergraduate degree;5| Presidency|9|Intern;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
356;8|Graduate school;13|Audit|11|Analyst;6;Pleno;11;Next Station;#N/A;#N/A
357;7|Undergraduate degree;10|Operations|9|Intern;#N/A;#N/A;15;Website;#N/A;#N/A
358;7|Undergraduate degree;5| Presidency|11|Analyst;7;Senior;7;SAPO Emprego;#N/A;#N/A
359;7|Undergraduate degree;7|Finance|9|Intern;#N/A;#N/A;15;Website;#N/A;#N/A
360;8|Graduate school;13|Audit|11|Analyst;6;Pleno;5;Indeed;#N/A;#N/A
361;7|Undergraduate degree;8|Human Resource|10|Trainee;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
362;7|Undergraduate degree;11|Communication & Marketing|11|Analyst;5;Junior;8;Net Empregos;#N/A;#N/A
363;7|Undergraduate degree;6|Administration|9|Intern;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
364;8|Graduate school;9| Commercial|11|Analyst;7;Senior;14;LinkedIn;#N/A;#N/A
365;7|Undergraduate degree;13|Audit|10|Trainee;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
366;7|Undergraduate degree;11|Communication & Marketing|11|Analyst;5;Junior;6;Learn4Good;#N/A;#N/A
367;7|Undergraduate degree;12|Controlling|9|Intern;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
368;7|Undergraduate degree;12|Controlling|11|Analyst;6;Pleno;7;SAPO Emprego;#N/A;#N/A
369;7|Undergraduate degree;12|Controlling|9|Intern;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
370;7|Undergraduate degree;11|Communication & Marketing|11|Analyst;6;Pleno;13;Google;#N/A;#N/A
371;7|Undergraduate degree;5| Presidency|10|Trainee;#N/A;#N/A;11;Next Station;#N/A;#N/A
372;8|Graduate school;12|Controlling|11|Analyst;5;Junior;10;Jobs in Lisbon;#N/A;#N/A
373;7|Undergraduate degree;10|Operations|10|Trainee;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
374;7|Undergraduate degree;5| Presidency|11|Analyst;5;Junior;7;SAPO Emprego;#N/A;#N/A
375;7|Undergraduate degree;7|Finance|10|Trainee;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
376;7|Undergraduate degree;9| Commercial|11|Analyst;5;Junior;5;Indeed;#N/A;#N/A
377;7|Undergraduate degree;5| Presidency|10|Trainee;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
378;7|Undergraduate degree;7|Finance|11|Analyst;7;Senior;8;Net Empregos;#N/A;#N/A
379;7|Undergraduate degree;10|Operations|9|Intern;#N/A;#N/A;11;Next Station;#N/A;#N/A
380;7|Undergraduate degree;12|Controlling|11|Analyst;6;Pleno;13;Google;#N/A;#N/A
381;7|Undergraduate degree;5| Presidency|10|Trainee;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
382;8|Graduate school;11|Communication & Marketing|11|Analyst;5;Junior;10;Jobs in Lisbon;#N/A;#N/A
383;7|Undergraduate degree;11|Communication & Marketing|9|Intern;#N/A;#N/A;5;Indeed;#N/A;#N/A
384;8|Graduate school;5| Presidency|11|Analyst;5;Junior;14;LinkedIn;#N/A;#N/A
385;7|Undergraduate degree;13|Audit|9|Intern;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
386;7|Undergraduate degree;11|Communication & Marketing|11|Analyst;6;Pleno;6;Learn4Good;#N/A;#N/A
387;7|Undergraduate degree;9| Commercial|10|Trainee;#N/A;#N/A;13;Google;#N/A;#N/A
388;8|Graduate school;12|Controlling|11|Analyst;6;Pleno;9;Empregos Online;#N/A;#N/A
389;7|Undergraduate degree;13|Audit|10|Trainee;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
390;8|Graduate school;12|Controlling|11|Analyst;5;Junior;15;Website;#N/A;#N/A
391;7|Undergraduate degree;8|Human Resource|10|Trainee;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
392;7|Undergraduate degree;7|Finance|11|Analyst;5;Junior;11;Next Station;#N/A;#N/A
393;7|Undergraduate degree;9| Commercial|9|Intern;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
394;8|Graduate school;9| Commercial|11|Analyst;6;Pleno;9;Empregos Online;#N/A;#N/A
395;7|Undergraduate degree;13|Audit|9|Intern;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
396;8|Graduate school;11|Communication & Marketing|11|Analyst;6;Pleno;10;Jobs in Lisbon;#N/A;#N/A
397;7|Undergraduate degree;7|Finance|9|Intern;#N/A;#N/A;13;Google;#N/A;#N/A
398;8|Graduate school;9| Commercial|11|Analyst;5;Junior;13;Google;#N/A;#N/A
399;7|Undergraduate degree;9| Commercial|10|Trainee;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
400;8|Graduate school;11|Communication & Marketing|11|Analyst;7;Senior;12; recommendation of employee;#N/A;#N/A
401;7|Undergraduate degree;5| Presidency|9|Intern;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
402;8|Graduate school;12|Controlling|11|Analyst;7;Senior;13;Google;#N/A;#N/A
403;7|Undergraduate degree;6|Administration|10|Trainee;#N/A;#N/A;5;Indeed;#N/A;#N/A
404;8|Graduate school;5| Presidency|11|Analyst;5;Junior;13;Google;#N/A;#N/A
405;7|Undergraduate degree;9| Commercial|9|Intern;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
406;8|Graduate school;12|Controlling|11|Analyst;6;Pleno;11;Next Station;#N/A;#N/A
407;7|Undergraduate degree;10|Operations|10|Trainee;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
408;8|Graduate school;12|Controlling|11|Analyst;5;Junior;8;Net Empregos;#N/A;#N/A
409;7|Undergraduate degree;11|Communication & Marketing|10|Trainee;#N/A;#N/A;15;Website;#N/A;#N/A
410;8|Graduate school;11|Communication & Marketing|11|Analyst;5;Junior;5;Indeed;#N/A;#N/A
411;7|Undergraduate degree;11|Communication & Marketing|10|Trainee;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
412;7|Undergraduate degree;10|Operations|11|Analyst;6;Pleno;15;Website;#N/A;#N/A
413;7|Undergraduate degree;5| Presidency|10|Trainee;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
414;7|Undergraduate degree;5| Presidency|11|Analyst;6;Pleno;8;Net Empregos;#N/A;#N/A
415;7|Undergraduate degree;5| Presidency|10|Trainee;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
416;7|Undergraduate degree;12|Controlling|11|Analyst;6;Pleno;15;Website;#N/A;#N/A
417;7|Undergraduate degree;5| Presidency|9|Intern;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
418;8|Graduate school;6|Administration|11|Analyst;5;Junior;15;Website;#N/A;#N/A
419;7|Undergraduate degree;9| Commercial|9|Intern;#N/A;#N/A;11;Next Station;#N/A;#N/A
420;8|Graduate school;8|Human Resource|11|Analyst;7;Senior;9;Empregos Online;#N/A;#N/A
421;7|Undergraduate degree;6|Administration|10|Trainee;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
422;8|Graduate school;9| Commercial|11|Analyst;5;Junior;15;Website;#N/A;#N/A
423;7|Undergraduate degree;5| Presidency|10|Trainee;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
424;7|Undergraduate degree;10|Operations|11|Analyst;5;Junior;10;Jobs in Lisbon;#N/A;#N/A
425;7|Undergraduate degree;7|Finance|10|Trainee;#N/A;#N/A;13;Google;#N/A;#N/A
426;8|Graduate school;8|Human Resource|11|Analyst;5;Junior;7;SAPO Emprego;#N/A;#N/A
427;7|Undergraduate degree;13|Audit|10|Trainee;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
428;8|Graduate school;9| Commercial|11|Analyst;7;Senior;8;Net Empregos;#N/A;#N/A
429;7|Undergraduate degree;10|Operations|10|Trainee;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
430;7|Undergraduate degree;6|Administration|11|Analyst;7;Senior;9;Empregos Online;#N/A;#N/A
431;7|Undergraduate degree;5| Presidency|10|Trainee;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
432;7|Undergraduate degree;12|Controlling|11|Analyst;7;Senior;8;Net Empregos;#N/A;#N/A
433;7|Undergraduate degree;13|Audit|10|Trainee;#N/A;#N/A;15;Website;#N/A;#N/A
434;7|Undergraduate degree;7|Finance|11|Analyst;6;Pleno;13;Google;#N/A;#N/A
435;7|Undergraduate degree;12|Controlling|10|Trainee;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
436;7|Undergraduate degree;9| Commercial|11|Analyst;7;Senior;14;LinkedIn;#N/A;#N/A
437;7|Undergraduate degree;13|Audit|9|Intern;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
438;7|Undergraduate degree;12|Controlling|11|Analyst;6;Pleno;13;Google;#N/A;#N/A
439;7|Undergraduate degree;12|Controlling|10|Trainee;#N/A;#N/A;11;Next Station;#N/A;#N/A
440;7|Undergraduate degree;13|Audit|11|Analyst;5;Junior;9;Empregos Online;#N/A;#N/A
441;7|Undergraduate degree;11|Communication & Marketing|9|Intern;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
442;8|Graduate school;11|Communication & Marketing|11|Analyst;7;Senior;9;Empregos Online;#N/A;#N/A
443;7|Undergraduate degree;11|Communication & Marketing|10|Trainee;#N/A;#N/A;13;Google;10; Retiring
444;8|Graduate school;8|Human Resource|11|Analyst;5;Junior;14;LinkedIn;#N/A;#N/A
445;7|Undergraduate degree;11|Communication & Marketing|9|Intern;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
446;8|Graduate school;9| Commercial|11|Analyst;6;Pleno;13;Google;#N/A;#N/A
447;7|Undergraduate degree;6|Administration|10|Trainee;#N/A;#N/A;11;Next Station;#N/A;#N/A
448;8|Graduate school;5| Presidency|11|Analyst;7;Senior;6;Learn4Good;#N/A;#N/A
449;7|Undergraduate degree;8|Human Resource|10|Trainee;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
450;7|Undergraduate degree;6|Administration|11|Analyst;7;Senior;13;Google;#N/A;#N/A
451;7|Undergraduate degree;11|Communication & Marketing|10|Trainee;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
452;8|Graduate school;6|Administration|11|Analyst;7;Senior;10;Jobs in Lisbon;#N/A;#N/A
453;7|Undergraduate degree;9| Commercial|9|Intern;#N/A;#N/A;13;Google;#N/A;#N/A
454;8|Graduate school;10|Operations|11|Analyst;7;Senior;5;Indeed;#N/A;#N/A
455;7|Undergraduate degree;13|Audit|10|Trainee;#N/A;#N/A;15;Website;#N/A;#N/A
456;8|Graduate school;13|Audit|11|Analyst;5;Junior;7;SAPO Emprego;#N/A;#N/A
457;7|Undergraduate degree;8|Human Resource|10|Trainee;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
458;7|Undergraduate degree;8|Human Resource|11|Analyst;5;Junior;14;LinkedIn;#N/A;#N/A
459;7|Undergraduate degree;5| Presidency|9|Intern;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
460;7|Undergraduate degree;9| Commercial|11|Analyst;7;Senior;5;Indeed;#N/A;#N/A
461;7|Undergraduate degree;7|Finance|9|Intern;#N/A;#N/A;15;Website;#N/A;#N/A
462;7|Undergraduate degree;5| Presidency|11|Analyst;5;Junior;8;Net Empregos;#N/A;#N/A
463;7|Undergraduate degree;7|Finance|9|Intern;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
464;8|Graduate school;9| Commercial|11|Analyst;5;Junior;6;Learn4Good;#N/A;#N/A
465;7|Undergraduate degree;12|Controlling|9|Intern;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
466;7|Undergraduate degree;7|Finance|11|Analyst;7;Senior;14;LinkedIn;#N/A;#N/A
467;7|Undergraduate degree;6|Administration|10|Trainee;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
468;8|Graduate school;5| Presidency|11|Analyst;6;Pleno;13;Google;#N/A;#N/A
469;7|Undergraduate degree;8|Human Resource|9|Intern;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
470;7|Undergraduate degree;5| Presidency|11|Analyst;7;Senior;8;Net Empregos;#N/A;#N/A
471;7|Undergraduate degree;6|Administration|10|Trainee;#N/A;#N/A;13;Google;#N/A;#N/A
472;7|Undergraduate degree;12|Controlling|11|Analyst;5;Junior;6;Learn4Good;#N/A;#N/A
473;7|Undergraduate degree;10|Operations|10|Trainee;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
474;7|Undergraduate degree;8|Human Resource|11|Analyst;7;Senior;6;Learn4Good;#N/A;#N/A
475;7|Undergraduate degree;9| Commercial|10|Trainee;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
476;8|Graduate school;12|Controlling|11|Analyst;7;Senior;8;Net Empregos;#N/A;#N/A
477;7|Undergraduate degree;7|Finance|10|Trainee;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
478;7|Undergraduate degree;12|Controlling|11|Analyst;5;Junior;7;SAPO Emprego;#N/A;#N/A
479;7|Undergraduate degree;7|Finance|9|Intern;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
480;7|Undergraduate degree;9| Commercial|11|Analyst;6;Pleno;15;Website;#N/A;#N/A
481;7|Undergraduate degree;11|Communication & Marketing|10|Trainee;#N/A;#N/A;5;Indeed;#N/A;#N/A
482;7|Undergraduate degree;12|Controlling|11|Analyst;5;Junior;9;Empregos Online;#N/A;#N/A
483;7|Undergraduate degree;10|Operations|9|Intern;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
484;8|Graduate school;11|Communication & Marketing|11|Analyst;7;Senior;12; recommendation of employee;#N/A;#N/A
485;7|Undergraduate degree;7|Finance|9|Intern;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
486;8|Graduate school;11|Communication & Marketing|11|Analyst;7;Senior;6;Learn4Good;#N/A;#N/A
487;7|Undergraduate degree;10|Operations|10|Trainee;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
488;7|Undergraduate degree;7|Finance|11|Analyst;5;Junior;15;Website;#N/A;#N/A
489;7|Undergraduate degree;8|Human Resource|9|Intern;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
490;8|Graduate school;5| Presidency|11|Analyst;6;Pleno;6;Learn4Good;#N/A;#N/A
491;7|Undergraduate degree;10|Operations|10|Trainee;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
492;8|Graduate school;6|Administration|11|Analyst;5;Junior;15;Website;#N/A;#N/A
493;7|Undergraduate degree;13|Audit|10|Trainee;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
494;7|Undergraduate degree;9| Commercial|11|Analyst;6;Pleno;9;Empregos Online;#N/A;#N/A
495;7|Undergraduate degree;10|Operations|10|Trainee;#N/A;#N/A;5;Indeed;#N/A;#N/A
496;8|Graduate school;11|Communication & Marketing|11|Analyst;6;Pleno;14;LinkedIn;#N/A;#N/A
497;7|Undergraduate degree;11|Communication & Marketing|9|Intern;#N/A;#N/A;5;Indeed;#N/A;#N/A
498;8|Graduate school;12|Controlling|11|Analyst;5;Junior;11;Next Station;#N/A;#N/A
499;7|Undergraduate degree;13|Audit|9|Intern;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
500;8|Graduate school;12|Controlling|11|Analyst;7;Senior;14;LinkedIn;#N/A;#N/A
501;7|Undergraduate degree;5| Presidency|9|Intern;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
502;7|Undergraduate degree;10|Operations|11|Analyst;5;Junior;14;LinkedIn;#N/A;#N/A
503;7|Undergraduate degree;5| Presidency|9|Intern;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
504;8|Graduate school;10|Operations|11|Analyst;6;Pleno;14;LinkedIn;#N/A;#N/A
505;7|Undergraduate degree;11|Communication & Marketing|9|Intern;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
506;7|Undergraduate degree;6|Administration|11|Analyst;7;Senior;7;SAPO Emprego;#N/A;#N/A
507;7|Undergraduate degree;7|Finance|10|Trainee;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
508;8|Graduate school;7|Finance|11|Analyst;7;Senior;7;SAPO Emprego;#N/A;#N/A
509;7|Undergraduate degree;7|Finance|9|Intern;#N/A;#N/A;11;Next Station;#N/A;#N/A
510;7|Undergraduate degree;11|Communication & Marketing|11|Analyst;5;Junior;7;SAPO Emprego;#N/A;#N/A
511;7|Undergraduate degree;11|Communication & Marketing|10|Trainee;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
512;8|Graduate school;13|Audit|11|Analyst;6;Pleno;8;Net Empregos;#N/A;#N/A
513;7|Undergraduate degree;5| Presidency|9|Intern;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
514;8|Graduate school;9| Commercial|11|Analyst;7;Senior;7;SAPO Emprego;#N/A;#N/A
515;7|Undergraduate degree;12|Controlling|10|Trainee;#N/A;#N/A;15;Website;#N/A;#N/A
516;7|Undergraduate degree;10|Operations|11|Analyst;5;Junior;8;Net Empregos;#N/A;#N/A
517;7|Undergraduate degree;10|Operations|10|Trainee;#N/A;#N/A;13;Google;#N/A;#N/A
518;7|Undergraduate degree;10|Operations|11|Analyst;5;Junior;11;Next Station;#N/A;#N/A
519;7|Undergraduate degree;11|Communication & Marketing|9|Intern;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
520;7|Undergraduate degree;10|Operations|11|Analyst;6;Pleno;10;Jobs in Lisbon;#N/A;#N/A
521;7|Undergraduate degree;10|Operations|9|Intern;#N/A;#N/A;5;Indeed;#N/A;#N/A
522;8|Graduate school;12|Controlling|11|Analyst;7;Senior;7;SAPO Emprego;#N/A;#N/A
523;7|Undergraduate degree;7|Finance|10|Trainee;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
524;8|Graduate school;10|Operations|11|Analyst;7;Senior;7;SAPO Emprego;#N/A;#N/A
525;7|Undergraduate degree;12|Controlling|9|Intern;#N/A;#N/A;15;Website;#N/A;#N/A
